"miRNA","BC.M.002","BC.M.003","BC.M.014","BC.M.015","BC.M.017","BC.M.019","BC.M.022","BC.M.023","BC.M.065","BC.M.066","BC.M.068","BC.M.069","BC.M.083","BC.M.085","BC.M.086","BC.M.088","BC.M.089","BC.M.091","BC.M.098","BC.M.106","BC.M.112","BC.M.119","BC.M.122","BC.M.139","BC.M.144","BC.M.146","BC.M.148","BC.M.150","BC.M.163","BC.M.201","BC.M.209","BC.M.220","BC.M.223","BC.M.232","BC.M.234","BC.M.263","BC.M.264","BC.M.269","BC.M.275","BC.M.277","BC.M.300","BC.M.308","BC.M.309","BC.M.341","BC.M.355","BC.M.357","BC.M.359","BC.M.363","BC.M.378","BC.M.381","BC.M.388","BC.M.406","BC.M.430","BC.M.451","BC.M.457","BC.M.470","BC.M.488","BC.M.493","BC.M.512","BC.M.570","BC.M.632","BC.M.722","BC.M.018","BC.M.020","BC.M.024","BC.M.031","BC.M.034","BC.M.042","BC.M.044","BC.M.053","BC.M.057","BC.M.064","BC.M.067","BC.M.071","BC.M.075","BC.M.079","BC.M.080","BC.M.101","BC.M.185","BC.M.218","BC.M.221","BC.M.222","BC.M.246","BC.M.247","BC.M.267","BC.M.283","BC.M.298","BC.M.318","BC.M.321","BC.M.338","BC.M.373","BC.M.371","BC.M.476","BC.M.551","BC.M.579","BC.M.627","BC.M.630","BC.M.709"
"hsa-miR-136-5p",5.169776,3.8254304,5.162825,3.9650881,4.743696,4.31251,4.598067,4.860884,3.6314807,4.038154,5.922894,4.592664,5.008367,5.347363,4.7509713,5.4985995,5.072132,5.5340276,4.489078,3.9164326,4.8844037,5.6362677,4.7638206,3.9137135,4.05432,4.4542923,4.5976663,4.29286,4.1512156,5.5488324,6.6024647,4.6698675,6.177892,5.703535,4.6984377,4.148988,5.7093472,3.8652403,5.672352,5.638738,4.930291,3.5959659,4.8342257,5.0402603,5.0218225,3.9233398,4.5739026,4.0996943,4.460183,5.5033393,4.8807673,4.9890385,4.951966,5.3823667,5.049728,3.6304884,4.713776,5.2893763,5.58011,3.9834416,4.6235924,3.524232,2.9991336,4.5912395,5.067235,5.3061004,4.963809,4.4587955,4.0509295,4.3979664,5.422716,5.057428,4.368646,4.3713913,5.865272,5.41832,5.6764436,5.4099526,3.9872468,7.2650404,3.7622533,5.2406616,3.921327,3.4285195,4.6042047,3.403708,4.235481,5.1169424,4.0883574,4.7660756,5.5316277,3.0273063,3.7630262,4.0311065,4.4533124,4.702956,4.448012,4.074221
"hsa-miR-136-3p",4.9392104,3.3301654,4.3324757,3.6836376,4.6016936,3.615317,4.5773063,4.176713,2.7225025,4.488774,4.7110834,3.2433205,4.712187,3.666957,4.6472445,3.6719015,4.484699,4.4784303,3.964144,3.6161175,4.318254,5.2556696,4.130612,3.4231396,3.1514452,3.531194,2.50604,4.0756636,4.0766177,4.4232864,4.5858746,3.699998,3.5018167,3.6018903,3.3759854,3.2169678,4.673825,3.122571,4.877427,5.279349,4.84242,3.2746022,4.0129395,4.7368093,3.364435,3.2792115,4.68082,4.139523,4.469685,5.3898067,4.731112,4.4960084,4.243226,5.3223395,4.504501,3.728464,4.233692,5.2274284,5.0550747,4.2813454,4.009493,2.3137012,2.2450016,4.5432043,4.9684396,5.1699386,5.0554843,4.21175,4.455282,3.8155081,4.0267644,4.8438997,3.8130646,3.5164332,4.825506,4.786118,5.350652,5.256049,2.1126335,4.786228,3.7971854,4.84173,2.2768748,2.861076,3.0486007,1.848941,3.9542196,4.0834374,2.4817185,4.5370264,5.2268844,3.4487078,3.1133857,4.421204,3.7759802,3.8588111,3.6470046,2.296683
"hsa-miR-139-3p",5.439523,4.8874707,5.5105286,4.3781524,5.0998163,4.7826114,3.8939738,5.2429843,4.7463784,4.6731462,4.2140055,5.25528,3.9528272,3.3696997,3.8559682,4.7318845,4.190477,4.145634,4.201779,5.504489,3.9768987,3.5140347,6.170383,5.0259047,4.626418,4.1887727,4.2544036,4.6427345,4.5168505,4.3073597,5.3143415,3.948376,4.434302,4.1660075,5.565124,4.9724736,4.752051,4.9924107,4.9143057,3.3758976,4.249337,5.437068,3.8034122,5.279542,5.918399,4.2428465,4.2630444,4.3649335,4.4370112,3.9349,3.9835181,4.5162973,4.9872007,4.3368053,4.6854935,4.0005794,4.288419,4.1790915,5.58385,6.237994,4.3683124,4.413718,3.4461071,5.6002417,4.280223,4.3225746,4.423349,4.118719,4.6870804,3.429347,3.6917682,5.0381827,3.3214624,4.849225,4.4265966,4.239057,3.7027507,2.9250875,4.245764,5.019894,4.4746375,4.419527,5.6988635,3.8680573,5.146914,4.3310866,3.89756,4.250711,4.302742,4.221087,4.597149,4.06509,3.0937738,4.805049,4.420862,4.0604115,3.6352272,3.833322
"hsa-miR-139-5p",6.0642223,4.0349774,3.3012362,4.0727425,3.4763713,3.9572597,3.5422103,6.6621437,5.149927,4.6855087,5.0474024,3.601607,4.58007,3.548247,4.946957,6.107658,4.984512,3.4069216,5.6274734,3.8621545,2.8447828,5.4850707,4.562821,4.96279,3.4075215,3.6220675,2.0287538,4.309276,4.2533755,5.146772,4.4188867,4.3455157,1.0926427,2.7764208,4.1163564,3.538772,5.255934,3.865526,3.5152407,3.3792307,4.4564505,5.4250336,4.5956564,5.9655466,3.3673122,4.670669,4.815683,4.944343,5.2224827,3.899389,4.550726,3.9191241,4.4479747,5.327565,4.454309,4.821162,3.1154087,3.6683342,4.3345656,4.4168563,3.1531117,3.56688,4.291973,4.3974953,3.6213627,4.1746373,5.991831,4.3266926,5.6350574,2.7513878,4.4042068,4.94029,3.2427933,3.857824,5.039388,4.335268,4.0873914,2.841574,1.6735079,3.1675682,4.2377143,5.2477393,2.499724,4.2762904,3.9602919,3.5881236,4.7539353,3.3674936,3.163751,5.1369686,6.239388,5.5052433,4.487541,6.113891,3.135103,4.308872,4.20818,2.4057252
"hsa-miR-140-3p",8.17557,7.8237114,7.752096,8.32329,7.350724,8.465454,7.567787,8.681361,8.540029,8.658898,7.9637675,8.403563,7.9093046,8.392334,8.763626,8.45225,8.739061,8.131338,8.150519,7.869053,7.751567,8.386429,8.350138,8.255312,7.556514,8.417758,7.3607926,7.6592674,8.855457,7.836792,8.082928,8.131601,6.451539,7.3460145,8.125936,7.787095,8.316817,8.228924,7.624908,7.1532173,7.486642,8.619299,7.9869666,8.517588,7.608584,7.6758122,8.219043,8.309769,8.394299,8.191366,8.277363,8.243704,8.841521,8.244509,8.815524,8.019962,8.126099,7.719756,9.056018,7.7837305,7.5907006,8.41178,7.4736133,8.623229,8.145527,10.984295,8.449498,8.766356,8.638125,7.1345935,7.563653,7.8573885,7.8120456,9.375652,8.264793,8.104003,8.122902,7.595927,7.3427753,7.3774447,7.6598625,8.167694,8.978457,8.212288,8.968784,8.7435255,8.190583,7.8709836,7.726748,7.892735,8.487785,8.331576,7.8336163,9.102396,7.2120366,7.5448103,8.596382,7.797409
"hsa-miR-140-5p",7.7093782,7.6634374,7.288392,7.5419574,7.241457,7.6566477,7.4172955,8.373149,8.350394,8.065506,8.023069,6.5334544,7.673326,8.491393,8.390256,7.6056266,8.402317,7.903536,7.596236,7.956851,7.1519017,8.258529,8.296728,7.8212204,6.911207,7.4070024,6.9168615,7.606489,8.007225,7.01527,8.040954,8.156477,6.0102882,6.759842,8.063656,7.0760417,8.390038,6.4296703,7.7967587,6.8538375,7.5458097,8.032213,7.9299765,8.359936,6.512117,7.449318,8.063288,7.935686,8.22404,8.203251,8.057412,8.060948,8.539859,7.7955093,8.248182,7.894643,7.380557,7.713382,8.458921,7.2746873,7.162019,8.056637,7.2655087,8.15625,7.9654503,10.108963,8.211189,8.6692705,8.018622,6.7098136,7.4831,7.3730984,7.587102,8.961011,7.897347,8.202019,8.445296,7.7248545,6.311673,7.058139,7.180945,7.7755175,8.446928,7.2897453,8.058894,8.240374,7.841019,8.083191,7.1895084,8.192396,8.180298,7.8162565,7.398468,8.289759,7.1839933,6.8736973,8.191388,7.76418
"hsa-miR-141-3p",10.554135,11.76128,11.958479,11.489108,10.644243,12.2660265,11.715019,11.043081,11.892963,10.723097,13.134077,12.362651,11.259225,12.618099,11.605484,11.029286,12.034014,10.731954,11.700521,12.972617,12.218048,11.487829,12.831068,12.530776,12.43165,10.3331375,12.503408,11.950739,10.771064,11.864991,10.749847,12.395482,13.045143,12.229389,11.883583,12.352756,12.749432,10.40454,12.614106,12.471428,11.0869875,10.549028,13.573677,9.938985,9.928567,11.900341,10.487298,10.827811,11.288317,11.225469,10.7940855,13.260524,11.862011,12.110794,10.555216,11.761376,11.424121,10.901597,11.147167,11.238677,12.700084,12.720795,11.2902,10.42837,11.092238,11.583726,11.209353,11.156778,10.26607,11.839666,12.48773,11.387577,12.527813,10.063542,11.416116,12.156204,9.204613,11.29602,11.1415205,11.222503,12.485628,11.7852955,12.829003,10.863863,10.905479,11.850229,10.743347,12.313235,12.77691,11.140656,11.350928,10.203024,10.810952,8.88057,10.202606,10.626479,12.4833,12.683416
"hsa-miR-141-5p",2.8249757,4.625586,3.6849086,3.755776,2.4279478,4.133129,4.639255,3.1410747,4.357271,3.7026849,5.35514,3.1837754,3.3494508,4.681031,3.5820282,1.4182835,4.7815375,2.6192513,3.775409,5.3183393,4.0652394,3.7076085,4.945601,4.4426146,4.6847677,2.0586705,4.333313,4.551278,3.8296585,3.3477414,2.8284037,4.3681965,4.033995,3.7861352,4.2105336,4.313406,5.109748,1.4467936,4.6958165,4.7817836,3.847586,2.8010275,5.481987,2.0308836,2.8646219,3.7074578,2.8974066,3.518692,3.9253643,3.6635141,3.1125383,5.309404,4.0401525,4.546675,3.543146,4.54877,2.8408976,3.3980732,3.242658,3.3207889,4.4757,5.362365,3.7621243,3.1975648,3.8710825,4.1645203,3.766818,3.6643074,3.5108738,4.7245393,4.3149004,3.5399756,4.530557,1.6948022,3.5813768,4.426695,1.5071557,3.5391266,3.693089,3.2780833,5.222165,4.187496,5.314966,3.7455251,3.067962,3.6513813,3.6741757,4.544822,5.3837757,3.7792513,3.732812,3.3903558,2.9296389,1.4677787,2.8585024,1.9840031,4.4203362,5.095235
"hsa-miR-142-3p",8.611619,9.925036,8.501782,10.160477,8.282814,10.786137,9.216723,9.934912,9.658209,10.871255,10.186586,9.348874,10.113907,12.681092,9.983722,10.935865,12.031673,12.738448,9.939006,9.584794,8.678929,11.907846,8.740294,11.352915,10.689512,9.815502,11.2139,9.664149,11.690557,7.6627817,13.047479,11.405684,8.866909,11.295066,11.502614,9.18986,10.275531,6.6875157,9.8518915,8.847239,9.925994,11.33415,10.547481,9.398642,8.603389,9.166087,10.464312,9.847673,10.258237,10.045852,10.4247,10.8342705,11.245087,10.045362,12.200104,9.636595,9.399222,9.783935,12.734998,8.768978,10.160577,11.980252,10.549029,8.205833,9.28666,10.680008,10.391864,10.572161,10.195946,9.764819,11.841135,9.978192,10.207692,11.041518,10.8820305,11.402254,9.132115,9.219523,10.346215,10.521787,10.928495,11.819635,11.149245,11.424589,13.262157,12.998362,11.516387,11.198541,12.39281,9.164443,9.011484,9.073971,8.789097,11.113657,9.958487,9.717601,12.9674015,11.098482
"hsa-miR-142-5p",6.465408,6.7373548,5.836708,7.470936,5.4707546,8.076768,6.2124605,7.0789323,6.46423,8.171474,7.094039,7.0652246,7.410878,9.306539,7.075768,7.901066,9.339044,9.692128,7.0650053,6.640027,5.9450192,8.94456,5.4742193,8.562028,7.989242,7.4337993,8.478677,6.556164,8.609585,4.7870574,10.624167,8.403695,6.6677413,9.079441,8.652661,6.3663216,7.337579,4.707511,6.894142,6.0109305,7.0665207,8.481641,7.569421,6.7089086,6.802563,6.4976234,7.554268,6.661318,7.4758058,7.2083,7.593181,7.9816585,8.251835,7.3766646,9.181864,6.7450027,6.9219303,6.8977675,9.64577,6.464574,7.630448,8.809795,7.309465,5.2055116,5.987878,7.8923264,7.4692492,7.573461,7.427799,7.027294,9.183935,7.396474,7.531908,8.671766,8.041543,8.517171,5.8466163,6.091354,7.7798285,8.660468,8.134957,9.217737,8.68851,8.484614,10.131714,9.976788,8.385528,8.116129,9.668537,6.2477956,6.3340397,6.2287774,5.6149273,8.367242,7.0934205,6.9005046,10.258266,8.001791
