"miRNA","BC.M.002","BC.M.003","BC.M.014","BC.M.015","BC.M.017","BC.M.019","BC.M.022","BC.M.023","BC.M.065","BC.M.066","BC.M.068","BC.M.069","BC.M.083","BC.M.085","BC.M.086","BC.M.088","BC.M.089","BC.M.091","BC.M.098","BC.M.106","BC.M.112","BC.M.119","BC.M.122","BC.M.139","BC.M.144","BC.M.146","BC.M.148","BC.M.150","BC.M.163","BC.M.201","BC.M.209","BC.M.220","BC.M.223","BC.M.232","BC.M.234","BC.M.263","BC.M.264","BC.M.269","BC.M.275","BC.M.277","BC.M.300","BC.M.308","BC.M.309","BC.M.341","BC.M.355","BC.M.357","BC.M.359","BC.M.363","BC.M.378","BC.M.381","BC.M.388","BC.M.406","BC.M.430","BC.M.451","BC.M.457","BC.M.470","BC.M.488","BC.M.493","BC.M.512","BC.M.570","BC.M.632","BC.M.722","BC.M.018","BC.M.020","BC.M.024","BC.M.031","BC.M.034","BC.M.042","BC.M.044","BC.M.053","BC.M.057","BC.M.064","BC.M.067","BC.M.071","BC.M.075","BC.M.079","BC.M.080","BC.M.101","BC.M.185","BC.M.218","BC.M.221","BC.M.222","BC.M.246","BC.M.247","BC.M.267","BC.M.283","BC.M.298","BC.M.318","BC.M.321","BC.M.338","BC.M.373","BC.M.371","BC.M.476","BC.M.551","BC.M.579","BC.M.627","BC.M.630","BC.M.709"
"hsa-let-7a-5p",13.265629,15.63835,13.895478,14.093235,13.073778,13.366695,13.358495,14.837677,14.890324,14.411314,15.349627,14.749097,13.627111,14.525513,14.122107,12.311868,14.075019,12.832235,14.463252,16.267326,13.844745,14.314878,14.734238,14.304225,13.848163,12.858057,13.428612,14.752577,14.72074,13.395314,13.426893,13.834911,13.230627,13.337459,15.4937105,14.787445,14.903299,13.053219,14.824221,13.9598,13.995841,14.176543,15.240394,14.193432,12.306109,13.646214,14.512963,15.388867,15.084081,15.013963,14.437785,14.146022,14.6725235,14.549937,13.746073,13.807794,13.633334,14.337561,14.103853,13.602948,14.494436,14.419025,14.0189705,14.113521,14.281636,14.887763,14.711286,14.443497,13.890185,13.034378,13.494363,13.419194,13.469205,12.8974905,13.802531,14.281355,13.849891,14.890686,13.461338,11.886498,13.594134,14.102606,13.627357,13.594975,13.249879,13.744256,13.80592,14.016748,13.269846,15.037274,14.680223,13.608661,13.4683275,14.042666,12.3991,12.329885,14.201265,13.882678
"hsa-let-7a-3p",2.6550238,3.4580607,3.7735925,3.8496878,1.6252087,4.115519,2.5051944,3.720646,4.1812534,3.0370908,3.8968494,4.5371776,2.5181077,3.1785617,3.4538815,2.871276,2.8543825,1.0044447,2.732437,4.8311734,3.5516343,2.6026986,3.4375947,2.5213819,3.0894039,4.030926,3.3915567,3.5367596,3.3821514,4.14541,2.0002906,2.4910789,2.9485893,3.1071901,3.7851655,4.4302025,3.7805533,4.2511997,4.120518,2.1878912,2.1452427,2.49237,3.673596,2.4897518,4.854513,1.5983782,3.3225183,3.9942706,3.36173,3.2203867,2.870968,2.33487,4.3613777,3.7275116,2.4856682,2.4309657,4.481625,3.265983,2.68508,2.8501246,3.9341905,3.1306057,2.3244207,2.735574,2.7002594,4.1079736,2.9965425,3.5648613,2.8986952,1.9743363,1.5229162,2.5298495,3.1717546,2.812993,2.2214768,3.2684917,2.26999,2.9920795,3.4558587,2.0690691,2.3031898,3.056087,1.9174361,2.870859,2.7587073,2.4572716,2.981605,2.4949832,2.3847911,3.3141224,3.7285247,2.170245,3.260347,2.5227647,1.5097374,2.7023692,2.0595272,3.2528222
"hsa-let-7b-5p",12.896871,15.462644,14.169578,14.373066,12.913365,13.683269,12.724522,14.605084,14.666426,13.996952,15.103256,15.613591,12.994061,14.016087,13.867715,12.486145,13.514732,12.068947,13.846556,15.924155,13.9492655,13.599348,14.85438,13.622836,13.319576,12.598629,12.9319315,14.452553,14.365609,13.325109,12.7103405,13.186024,13.648672,12.779197,15.089432,15.08593,14.655713,13.787467,14.946142,13.604219,13.649427,14.079874,14.745557,13.952241,12.136752,13.834267,14.302329,15.268851,14.791861,14.705744,13.902776,12.697293,14.628568,14.22952,12.893154,12.999451,14.21237,13.889862,13.633545,13.692766,14.697209,13.938482,13.37293,13.752605,13.810398,14.401064,14.198786,13.66711,13.166045,11.669429,12.628692,13.165227,12.8465,12.587139,13.43481,13.583253,13.181309,14.631536,12.639691,11.588931,13.183143,13.685176,12.574825,12.904467,12.894121,13.158211,13.023544,13.159083,11.831438,15.007165,14.460099,12.668333,12.810452,13.535684,12.026893,12.109756,13.065016,13.241329
"hsa-let-7b-3p",1.8052611,3.5624747,3.4416614,3.514808,2.6976953,2.6618497,2.427925,2.392764,3.559178,1.5151504,1.5376921,3.5260623,2.1032996,2.1084583,2.028992,3.4280374,2.5994806,2.5583549,2.3990061,3.154655,2.8408084,1.5858879,3.2555792,2.4006367,2.0137262,3.8973453,3.242717,1.8711807,2.4508002,3.4751925,2.136206,2.3850226,4.458895,3.106789,3.2872732,3.1069174,3.2420735,2.1742275,3.7584507,1.9721619,2.439761,2.1569695,2.528148,2.656932,6.0438895,2.3667827,2.0203357,2.1081414,1.4256803,1.7266779,1.8193431,2.9154232,4.284855,2.7432673,2.8134303,1.9398898,4.202487,1.217799,2.28712,2.6162574,2.7418053,3.783175,1.9783697,3.5092947,3.0240157,1.7836059,2.0198581,2.5867324,1.9817083,1.4854239,1.9690098,2.8182514,1.9567789,2.2142587,3.0700302,2.489153,2.1023343,2.1750743,3.2781262,1.3980944,1.6724174,1.5650628,2.8276901,3.2056575,2.048656,2.402151,1.9152906,2.65739,1.8398446,2.8968036,1.6779898,2.246721,1.9445119,2.5069613,2.5058808,5.1930146,2.5846076,4.927723
"hsa-let-7c-5p",11.920269,13.777391,12.585502,12.696483,11.707704,11.950275,11.400958,13.155167,13.16178,12.711777,13.549171,14.041133,12.013522,12.223122,12.465858,11.0238905,12.327432,10.67915,12.429014,14.220797,12.520177,12.579972,13.238384,11.969691,11.747136,11.101606,11.3171015,12.725395,12.982725,11.975343,11.25368,11.636192,12.110674,11.264092,13.580533,13.289737,13.015805,12.201523,13.446361,12.196553,12.347281,12.389448,13.162562,12.700647,10.629292,12.006931,12.894032,13.72752,13.279873,13.339547,12.781104,11.619131,13.135713,13.0595875,11.867099,11.755009,12.341069,12.706265,12.563521,12.27505,12.998528,12.165498,11.932847,12.570176,12.642429,13.040995,12.85071,12.119404,12.203579,10.747463,11.004056,11.972067,11.57006,11.167357,12.260245,12.416238,12.430394,13.160097,11.332495,10.320286,11.729881,12.440318,10.942393,11.596405,11.022257,11.235395,11.723753,11.764684,10.558371,13.380685,13.21075,12.057242,11.669329,12.470372,10.785103,11.091544,11.852709,12.282621
"hsa-let-7d-5p",9.739521,11.480442,10.43278,10.41068,9.861024,9.943051,10.180822,10.831781,10.797269,10.828577,11.120427,10.503943,10.225714,10.962392,10.799574,9.378816,10.627937,9.702055,11.041553,11.935589,10.192657,10.923814,10.648679,11.033764,11.364634,9.485121,10.28782,10.951664,11.009108,9.737505,9.874457,10.616959,9.425051,10.132474,11.147325,10.906923,10.80562,9.654163,10.907649,10.515758,10.345316,10.211837,11.917047,10.494071,8.270696,10.488526,10.521908,11.241291,10.829453,11.340312,10.978498,11.572433,10.7908945,10.652608,10.598908,10.79577,9.8982115,10.70922,10.548004,9.841817,10.487965,10.960574,11.119951,10.91296,11.077254,10.9693165,10.817448,11.637696,10.376925,9.700502,10.3109045,9.689632,10.207497,10.092131,10.525035,11.041316,10.640381,11.024434,10.7221575,8.659545,10.341021,10.730286,11.319408,10.499116,10.457995,11.004973,10.804888,10.763051,11.661103,10.8612,10.761057,10.431794,9.622027,10.443475,9.4247465,8.849168,11.849094,10.503067
"hsa-let-7d-3p",1.9792484,3.6801493,3.5182588,2.874186,2.7401948,2.6891222,2.5256414,2.6352887,2.1169484,1.5738202,2.1717098,2.7114284,2.075203,3.4117792,2.4469848,1.9631995,2.1618478,2.0923355,3.2373528,3.0030062,2.6920712,2.644193,2.8530998,3.3584511,3.2095864,2.9787023,2.7156746,2.7753742,3.1038837,3.8812892,2.0341978,2.5853846,2.0562475,3.6309786,2.8681037,3.1874712,3.01556,2.4359019,2.8572748,2.0303345,2.6963642,2.5801454,3.5621727,2.8281612,6.3463626,2.4534302,2.8134367,2.804545,2.6853414,2.902468,2.4806497,3.4152236,4.672815,2.8112247,2.928416,3.2191021,3.9413059,2.3512466,2.2711878,3.4002676,2.9321768,3.5045483,2.7655418,3.712186,3.828668,1.8748025,2.8272088,3.6251264,2.27592,0.81410515,2.4935899,1.92083,1.9046535,2.4143686,2.7515423,2.623501,2.8921504,2.8204079,2.2250376,0.47453678,1.6296653,2.0094767,3.3111715,3.337671,2.2341595,2.6826355,3.207087,2.327166,3.9647226,3.0171704,2.7450948,2.4618442,2.4524965,3.001239,2.2491677,4.9035373,3.4816844,4.6336923
"hsa-let-7e-5p",9.635339,11.607043,10.64431,10.324779,10.83062,10.193782,10.460511,11.086096,10.664123,11.078238,11.036776,10.580114,10.454818,11.390238,10.661221,9.618029,10.506087,9.065071,11.523628,11.068375,10.587748,10.71713,10.712376,11.585403,11.240917,10.051774,10.732047,11.137854,10.7937565,10.0843935,10.0807295,10.915632,10.445467,9.790429,10.840024,11.223014,10.832282,9.504289,10.726502,10.131811,10.701813,10.62547,11.851871,10.38419,9.012143,10.762567,10.46312,11.315049,11.178091,11.40335,11.111151,12.457635,10.647497,10.79184,10.417392,11.202077,10.135006,10.882377,10.36059,10.23281,10.937209,10.463168,10.906689,11.058326,11.145198,10.733293,10.888818,10.982531,10.5223675,8.2134695,9.564723,9.565225,10.156645,9.412734,10.325352,10.932416,10.47309,10.983641,9.576644,9.39898,9.351555,10.304516,10.15326,10.312422,9.571159,10.312372,10.293502,11.478835,9.801551,11.186304,10.789381,10.590209,10.45063,10.331711,9.176225,8.169599,10.0571575,9.765032
"hsa-let-7e-3p",1.7835323,2.1917558,2.5977516,2.020171,2.5722883,1.2664257,1.8762462,2.7336507,2.0263674,2.57217,2.497189,2.2724059,2.3299897,2.594241,3.1123178,1.4236369,1.6686572,1.2237434,2.4953585,1.9871032,2.9864776,2.153673,1.6639556,2.7374945,2.511982,2.2536228,1.7831316,2.648019,1.9596211,3.061721,0.9514663,2.2648444,1.6329923,2.7242599,1.2368574,3.5522304,2.264419,2.6758814,2.5556214,1.0395868,2.4938116,1.670868,2.8741293,1.8936034,3.93025,1.0950737,2.7706509,3.0974312,2.993524,3.1641884,2.7231376,3.1353972,3.5243714,3.0137658,2.374968,3.1659274,2.5331323,2.5652542,1.9165989,2.1961403,2.3122005,2.1997497,1.4368371,2.6063552,2.983472,1.9248466,2.453718,2.9827487,2.2438395,-0.13363698,1.1921139,1.8454229,1.5355325,1.1256514,1.5926083,1.8832425,2.4543355,2.4294078,1.4714414,2.1502872,-0.045128345,1.7883745,1.3194771,2.690781,1.3063515,1.4343165,1.96487,1.7449889,0.8171286,2.5736308,2.882017,2.9971352,2.608101,2.1530943,0.22118057,0.6276218,0.7050059,2.329472
"hsa-let-7f-5p",12.887161,14.983523,13.397077,13.522891,12.639455,12.889428,13.089426,14.189248,14.418355,14.013362,14.740459,13.743662,13.412528,14.119099,13.814849,11.946619,13.815572,12.665341,14.167697,15.554374,13.39155,14.076912,14.182251,14.234604,13.793069,12.34604,12.995337,14.303091,14.17424,12.751187,13.060081,13.823072,12.637258,12.900268,14.762665,14.077692,14.458929,12.470178,14.2588,13.638876,13.686109,13.557656,15.012381,13.71927,11.738891,13.163142,13.995876,14.644251,14.49595,14.612507,14.071494,14.519673,14.139815,14.010145,13.5614605,13.7601595,12.986971,13.957402,13.770138,13.107548,13.96336,14.114269,13.812449,13.590066,13.936449,14.2666445,14.213593,14.139788,13.392463,12.643416,13.50618,12.804501,13.021589,12.754057,13.584803,14.065502,13.437009,14.316439,13.24948,11.567119,13.221764,13.774001,13.59978,13.282658,12.948982,13.677118,13.545487,13.9186125,13.889759,14.379057,14.11661,13.419418,12.7785,13.620182,12.311519,11.929335,14.232361,13.642947
"hsa-let-7f-1-3p",0.9604059,2.932161,2.9441338,2.8087437,2.2526443,2.229912,1.7661765,1.9497107,2.7570088,0.9709873,0.9136659,2.8805857,1.0667825,2.0653532,1.5674939,3.0852194,2.1619627,2.4370651,1.384214,2.2337782,2.1956282,0.573147,2.8233552,1.4663327,1.2436844,2.8828368,2.6232762,1.470307,1.5786083,2.4272287,1.6299682,1.063011,2.720666,2.1212823,2.4187236,2.7505965,1.8322585,1.6981376,3.0744448,1.0313282,1.5992075,1.308421,1.800128,1.6755999,5.234337,2.0337794,1.5462871,1.4520373,0.7484832,0.85069865,0.86480814,1.9914227,3.3888128,1.6083966,1.9140991,1.4150487,3.475929,0.595542,1.6884786,2.2955606,1.5690075,2.75017,1.735146,2.8509881,2.2534559,1.2095042,1.4171432,1.9912671,1.3095125,1.2618014,1.9315865,2.091647,1.5914444,1.3290657,2.7365744,1.472876,1.496322,1.1704626,3.0257885,0.45280203,1.3672309,1.162698,1.9508489,2.2972717,2.3622484,1.4789146,1.4011675,1.9470412,1.1569786,1.8551795,1.4288677,1.5509634,1.6930583,2.203054,1.6354945,4.312784,1.6531856,3.8946857
"hsa-let-7f-2-3p",0.009353331,0.9565019,1.164282,1.5592625,0.6044892,1.115505,0.5205254,1.2744572,0.68229115,-0.376891,0.6672703,1.7216934,-0.2472827,1.2707248,0.20704323,1.5826784,0.98721945,0.8070941,1.0804869,1.502214,0.6266727,-0.16627023,1.273923,0.47960958,1.0476295,1.5019848,0.84478986,0.02161051,0.63999003,1.0079607,0.67509276,0.304307,0.36603907,0.5487512,1.02057,0.85323304,1.3323983,1.1508417,0.57002246,0.48841462,-0.22183262,0.31091115,1.5542829,-0.22402337,3.1775353,0.1193588,0.18026581,0.8430617,-0.17215657,0.45280367,-0.356774,0.56891286,1.6232338,1.2435442,0.7083836,0.24287637,2.148916,0.07745776,0.16812961,1.1430001,1.6269846,1.1146688,1.3177755,1.0654771,0.65618193,0.6325517,0.020661753,0.46270195,0.36527774,-0.12763596,1.1892666,0.6934843,0.43641037,0.41001794,1.5922923,0.76319784,0.06972051,0.39049253,1.6761329,0.000955563,0.05065909,0.30701038,1.2087454,0.6859337,1.1893016,1.3043797,0.28356248,0.69257975,2.1821885,1.0851097,-0.00075589,0.6113144,-0.07859786,1.0429163,-0.12562157,3.1394057,0.5123899,1.68742
"hsa-let-7g-5p",11.570352,12.79812,11.189092,11.931763,11.334881,11.300938,11.4435005,12.082788,12.365012,12.584222,12.622587,11.841518,11.703805,12.535028,12.216103,10.649447,12.342617,12.113289,12.401044,13.055369,11.596086,12.541946,12.2740555,12.712298,11.807336,10.630239,11.662342,12.546922,12.749254,10.822998,11.985641,12.597702,10.660888,11.087264,12.268478,12.072368,12.392965,10.384323,12.083811,11.615317,11.876402,11.941475,13.122411,11.82119,9.831057,11.375398,12.097701,12.332234,12.383008,12.697725,12.222671,13.163138,12.306696,12.271053,12.197285,12.324788,11.233853,11.966351,12.60054,11.677364,11.635257,12.456683,12.89502,11.819615,12.148915,12.574766,12.327817,11.994989,11.843401,10.848934,12.304881,11.134895,11.638169,11.133627,11.802895,12.261997,11.656761,12.270843,10.938622,10.089132,11.80763,12.466913,11.610854,11.862301,12.350086,12.434995,11.765281,12.236097,12.083758,12.13815,12.397993,11.8194275,10.53879,12.432128,10.727822,10.709157,12.824115,11.929508
"hsa-let-7i-5p",11.320577,12.080986,11.362287,11.659303,11.158482,11.451545,11.476671,11.798441,11.900785,12.182397,11.870629,11.228737,11.643931,11.959354,11.823955,10.845967,11.898897,12.058899,11.802178,11.529255,11.33967,12.3173685,11.508008,11.757753,11.533818,11.096109,11.245575,11.836247,12.182535,10.488173,11.706123,11.771526,10.365935,10.859052,11.544028,11.527254,11.815094,10.171866,11.7505865,10.875946,11.515037,11.425164,12.046663,11.544854,9.993948,11.363092,11.690528,11.460977,11.695676,12.33613,11.5876465,12.278343,11.920815,11.695555,11.785377,11.823815,11.440063,11.602375,12.5988655,11.078762,11.358678,11.948654,11.720059,12.059693,12.026671,12.554162,12.021773,12.218318,11.851926,10.35348,11.293287,11.121087,11.606501,11.159482,11.730186,12.384257,12.298347,12.000966,11.4478655,11.080252,11.517083,11.945819,12.061171,11.489323,11.977568,12.3887205,11.66486,11.935197,12.165622,11.964874,12.107339,11.34622,10.839525,11.950233,10.8443985,10.108661,12.167906,12.0648365
"hsa-let-7i-3p",2.4002028,0.9601524,2.005186,1.8314357,1.0217428,1.7370354,2.091211,1.9345014,0.7766933,3.0939596,2.0290363,2.1057208,2.733523,1.0821809,3.5680745,1.4206951,2.3295121,1.464286,1.084453,2.4032762,2.734372,2.7347772,2.4125898,1.3359231,1.6698933,2.5958338,0.8825334,1.7641478,2.0663202,1.6791037,1.5347147,0.90493315,0.23497058,2.145626,1.0281371,2.4496372,1.8129517,1.121831,1.6914374,0.49008602,0.9069346,0.5597209,2.2156627,1.336816,2.8675745,0.43856776,2.242371,1.9190787,-0.15869509,2.4339285,2.1765184,2.4227736,2.0986729,2.9727108,2.3026137,0.9860392,2.0140016,1.9810131,3.0827723,1.6756588,1.2110955,2.0730824,0.96436363,2.23261,1.8412914,2.9025123,1.9340177,2.4447658,2.8413353,-0.056039035,1.3772278,1.0757109,1.6429477,1.4560925,2.4613597,3.1418538,2.1889055,1.9885503,3.4388795,2.124116,1.5194241,2.8096654,2.941335,2.2885644,1.8423432,2.0546591,1.5251936,1.0655088,2.1892428,1.7202406,2.6252635,1.2302542,1.0230318,1.6678685,-0.05829755,0.24736317,1.6665386,1.6684144
"hsa-miR-1-3p",5.5662427,3.4375558,1.8912337,3.0665672,2.7617908,1.7656363,3.9945788,3.7819777,8.094444,4.80237,4.458324,2.2232172,2.7892063,4.4756107,13.117707,2.0859945,4.8166833,2.9242795,3.539138,3.245994,3.408903,3.2888577,4.698999,3.4871843,2.2335095,1.995067,1.3440034,3.4574559,3.8456717,2.1112032,3.4985907,4.142985,0.70870113,1.9443885,3.6451602,1.3513341,5.6829133,1.2454801,2.0232787,3.523544,2.963669,5.215882,3.4556117,4.46973,3.364281,3.3604093,4.6084795,3.9080403,5.1188464,3.7773938,3.9706564,3.9364758,4.0718803,3.9433944,2.2424717,3.9335456,2.4266727,3.8994052,3.4457994,3.723138,4.221436,2.7198114,2.6131585,3.5825362,2.3896768,4.299502,4.5495543,3.7604856,3.962199,0.368246,4.9455156,2.2767432,2.3206654,2.1388633,3.1928906,4.4593945,3.7356784,3.561362,1.3265128,3.6743588,5.317484,3.3812711,2.8347943,4.2942243,1.7241763,2.8977597,3.7961361,3.946083,1.265464,3.8820896,4.1156163,5.4736314,2.4402862,3.8742783,3.3899102,2.4303646,4.3578796,1.7761568
"hsa-miR-100-5p",9.794083,9.094652,9.412842,8.746396,9.311564,8.377734,8.899456,10.006114,9.434728,10.092205,9.583032,9.019782,10.449311,8.990486,9.650069,8.373215,9.562996,8.714527,9.033488,9.530013,9.193986,10.23717,9.4419365,8.93948,8.70869,8.237619,8.169677,8.797696,10.005764,9.109873,9.293336,8.595508,7.0716267,8.019799,8.518276,8.695065,9.678973,9.288236,9.290131,9.549874,9.11492,8.473877,9.158674,9.690848,8.084194,8.526145,10.148261,9.669756,10.021913,10.202559,9.915703,9.529134,9.757116,10.270248,9.68677,9.210171,9.429766,9.699373,10.404215,9.481239,9.30157,8.687746,8.543392,10.723734,9.861322,10.045942,10.643704,10.20823,10.00853,8.060966,8.915245,9.807516,10.392488,8.77363,9.381346,9.524433,9.912134,10.46093,8.117998,8.493039,9.501655,9.785606,10.816075,9.204396,8.497723,9.546092,8.731911,8.856255,8.820612,9.366608,11.088694,10.161698,9.30785,10.343116,8.209992,9.194022,9.555781,9.104222
"hsa-miR-101-3p",9.464047,10.471035,8.894218,9.188321,8.018471,8.883664,8.842747,9.447628,9.741034,9.185896,10.554151,9.313696,9.525048,10.44028,10.330565,7.9906254,9.73897,9.243047,10.019802,10.832935,9.24892,9.812561,9.622044,9.895896,9.376082,8.608589,9.702538,9.465842,9.759101,9.48191,9.552388,9.797038,9.811784,9.265747,10.230874,9.6903925,10.211582,7.663684,9.604224,8.536488,9.467816,9.088263,10.51795,9.384944,9.113291,9.164559,9.613003,9.330354,10.321708,9.975546,9.700497,10.280564,10.155953,9.9565115,9.150222,9.865269,8.602644,9.365286,9.553621,9.069827,9.811544,8.914464,10.24582,8.663403,9.471465,9.697231,10.204579,9.2399,9.101695,7.616635,8.857784,9.093109,9.205808,8.931314,8.879962,9.724602,8.741132,9.673409,8.455735,8.184289,9.773327,9.638452,8.734551,8.281804,9.491784,10.114043,8.818004,9.281224,9.393603,9.574066,10.305013,8.971998,8.147444,9.249848,7.672256,8.782688,10.3605385,9.127885
"hsa-miR-101-5p",2.6009343,2.8071203,2.105199,2.4966857,1.0608417,1.9749528,1.7181004,2.6782243,2.4269588,2.5200148,3.5293753,1.9342612,2.6674962,3.2922916,3.5636644,1.6288692,2.352741,1.3974532,2.6121433,4.2292776,2.7611804,2.5117004,2.7882633,2.0155468,2.2483244,2.3064845,2.4494073,2.7860892,2.3238142,2.7885046,1.8040028,2.252312,2.0927546,1.7320086,3.25412,3.2120745,2.688054,1.568225,2.4404583,0.86308205,1.9448671,1.5615054,3.5442753,2.2171845,3.0774674,2.554026,2.5595977,2.589936,3.4937012,3.1472394,2.897611,3.2411935,2.7536974,3.166363,1.9177431,2.5935206,1.6980898,2.2789335,2.2688537,2.0280805,2.9370646,1.2044679,2.6939702,2.3259726,2.0122943,2.4703398,3.2282825,1.9756099,2.3573925,1.9397168,1.4722373,1.4626565,2.1999087,1.347227,1.808026,2.2050648,1.2460785,2.7565167,1.0985761,1.1618477,2.75563,2.6427577,1.4222072,0.8660849,1.7891426,2.385074,1.060092,1.5143772,0.60034716,1.8075356,3.4405065,1.8597621,0.6850028,2.0395994,0.68124163,1.9886189,2.684068,1.489794
"hsa-miR-103a-3p",10.139879,11.688036,11.129397,11.059613,10.993883,11.106793,10.445257,10.7671175,10.705328,10.969853,11.140017,10.737176,10.900179,11.872102,10.715121,10.721053,10.816371,10.867128,12.236603,11.900851,11.241686,10.896635,10.617645,12.607975,11.922854,11.18035,11.5193405,11.5901375,11.671696,11.068453,10.585591,11.56921,11.102378,11.173649,11.086797,12.126138,11.585988,10.735713,11.582565,10.657347,10.842292,10.957116,13.268811,10.392231,9.912423,11.991354,10.745128,10.950117,11.366518,11.45771,11.350955,13.183354,11.159481,10.850744,11.069972,12.306352,11.122378,10.716645,10.877025,10.605313,11.717079,11.208059,11.094889,11.083529,11.608499,10.477667,10.9995,11.085762,10.659271,10.640525,10.753165,10.800518,11.287687,10.460151,10.536574,11.506256,10.367294,10.886033,10.5347185,10.190137,10.24123,11.2694235,11.184072,10.278413,10.543587,11.318202,10.472028,11.775795,10.851034,10.951183,11.3165,11.02586,11.447333,10.223533,10.200693,9.806405,11.208551,10.5122175
"hsa-miR-105-5p",-1.135594,0.9619874,1.0331817,1.3301164,0.44295147,2.1202424,0.20002677,1.2733902,0.6733466,-0.47602102,0.2392923,1.7180372,-0.6117476,5.117085,0.025527563,1.4132451,0.711282,0.8054515,1.0762653,1.3816782,0.6116228,-0.44846302,1.1023737,0.47712237,0.50824815,1.4981008,1.3329046,0.016010301,0.63301957,0.7184779,0.12155327,3.4431696,0.2034412,0.53921056,0.50064266,0.8431053,1.3228122,-0.13175713,0.4227984,0.48590302,-0.23558353,0.30682895,1.0292786,-0.22797908,2.865658,0.07410944,-0.30161178,0.11547918,-0.17091489,-0.6721179,-0.36274782,0.5570413,1.4104797,0.31395748,1.0435308,0.19256975,1.4799583,-0.55447084,-0.024574794,0.17434423,0.8891286,0.73076314,0.7008125,1.0608745,0.5273489,0.6306936,-0.26543114,3.5659087,0.36305618,-0.13543692,1.1902336,0.6910977,3.4350042,-0.030593453,1.5932178,2.972205,-0.22135814,-0.035769667,0.82773167,1.4796163,-0.4035486,0.6482408,1.2092161,3.0672245,1.1862736,4.159085,0.21732661,0.51132405,0.38352686,0.583061,-0.009349453,0.2698121,-0.18392827,0.29797137,0.17058572,0.23785721,0.50749546,3.3980734
"hsa-miR-106a-5p",4.990952,5.2495522,5.733102,5.5019054,4.579294,5.5002623,5.3886437,5.033765,5.3685136,5.746353,5.926179,5.268031,4.9071164,5.885527,5.392179,5.301839,5.5142517,4.982007,4.942131,5.733193,6.7845135,5.341083,5.225615,6.0143027,6.8903685,6.3585205,6.224656,6.6068726,5.683548,6.8801403,5.527847,5.290731,5.3993526,7.446145,4.697504,5.789241,4.949133,4.6940393,4.667471,5.1787047,5.2517767,4.210986,5.8915305,4.47993,3.7004464,6.08277,5.215342,5.64486,5.3977666,5.091785,5.2579927,6.0366817,4.9851336,5.4458036,5.6046214,5.3298717,5.434791,4.79862,5.477458,5.4516644,5.763868,5.6469293,5.9974422,5.32154,5.7276454,7.7521663,5.198831,7.7609525,5.4861774,5.6067753,5.664045,5.770741,6.5382013,6.1306953,5.563939,5.307947,3.3804102,5.6924458,8.537137,5.4821987,7.238123,5.496939,7.723886,5.633575,6.9959965,5.3317156,6.0591455,5.724941,5.5654564,4.6972227,5.4174953,5.963891,5.84805,5.2604365,4.782034,4.3622293,7.423445,5.908698
"hsa-miR-106b-5p",9.448713,10.977402,10.082659,9.773027,9.683129,10.412203,10.102656,10.038863,10.240712,10.145222,10.445092,10.023739,9.610842,10.883626,10.0752735,10.590579,10.380704,10.348882,10.176718,10.727309,10.561169,9.799792,10.238339,11.104166,11.228078,11.246583,11.505598,10.973481,10.265346,10.699499,10.089902,10.788372,10.616051,10.538304,10.667361,10.231222,10.14797,9.519933,10.26083,10.516077,10.169732,9.676929,10.610249,9.385663,8.221671,11.300755,9.993458,10.064991,10.095517,10.313795,9.721371,11.508298,10.275231,10.174776,10.262515,10.970665,9.821418,9.747897,9.985952,9.336805,9.721737,10.665865,11.041383,9.042017,10.420895,11.1096735,10.025092,12.090393,10.123233,10.795226,10.688236,10.135865,11.243624,10.540605,9.728868,10.754432,9.373453,10.26998,10.562087,9.479611,11.301004,10.602479,10.897027,11.102539,10.631358,11.036107,10.5045,10.787058,11.307117,10.277689,10.40577,10.560625,10.812939,9.255862,9.668739,8.943021,11.931912,11.473332
"hsa-miR-106b-3p",-0.9707006,1.0168222,1.0399851,1.3336707,0.9161069,1.0547929,0.32562497,1.338288,0.67601764,1.0592899,0.24954824,1.7246125,-0.025373952,1.4233576,1.7493879,1.423927,0.7731402,0.8088392,1.082481,1.6212412,1.7548059,-0.24889027,1.6308889,2.1995637,2.4451046,3.2327204,2.0925536,2.257971,0.64027894,2.622316,0.37458742,0.6482657,0.82044894,1.4181114,0.82945424,1.0293818,1.3264031,1.601569,0.4425401,0.49508718,0.9434521,0.50410175,1.1679592,0.05448409,2.8646677,0.44082278,0.87159854,1.1480234,0.6946916,1.5418947,0.65893644,0.72449327,1.4153082,2.1123354,1.1366358,2.0644546,1.4851369,0.18607613,0.8705424,0.6255205,0.8899732,1.1188663,1.1587018,1.0671262,1.8802466,1.6503111,0.3117828,3.9583926,1.5734438,0.50447786,1.4453166,1.1902055,1.3028101,2.151309,1.594097,0.8999675,0.058898754,0.96029204,2.4584095,1.3779029,1.663292,1.5366186,2.1474152,3.2576485,1.4584411,1.56018,2.024722,1.1258664,2.4795232,0.59428567,1.5915927,2.475502,3.8079345,0.4132005,0.41264,0.24104063,3.2710745,1.4437222
